type,rank,name,country,score,startDate,competition,competition_short,url,season,gender
FS,20,Alina URUSHADZE,GEO,109.12,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,3,Elizaveta TUKTAMYSHEVA,FSR,141.6,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,11,Haein LEE,KOR,124.5,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,17,Nicole SCHOTT,GER,113.71,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,16,Josefin TALJEGARD,SWE,116.52,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,15,Lindsay van ZUNDERT,NED,116.78,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,14,Madeline SCHIZAS,CAN,117.01,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,2,Anna SHCHERBAKOVA,FSR,152.17,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,12,Eva-Lotta KIIBUS,EST,121.82,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
SP,7,Bradie TENNELL,USA,69.87,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,10,Ekaterina RYABOVA,AZE,125.35,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,9,Rika KIHIRA,JPN,126.62,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,8,Bradie TENNELL,USA,127.94,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,7,Olga MIKUTINA,AUT,131.59,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,6,Karen CHEN,USA,134.23,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,5,Kaori SAKAMOTO,JPN,137.42,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,13,Yelim KIM,KOR,118.15,2021/03/24,ISU World Figure Skating Championships 2021,WORLD,http://www.isuresults.com/results/season2021/wc2021/index.htm,2020-2021,F
FS,2,Evgenia MEDVEDEVA,RUS,154.29,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
SP,38,Aimee BUCHANAN,ISR,33.87,2018/01/15,ISU European Figure Skating Championships 2018,EURO,http://www.isuresults.com/results/season1718/ec2018/index.htm,2017-2018,F
